sep=	
card	en	fr	de	nl	es
nocturne_boon_theearthsgift	The Earth's Gift	Don de la terre	Geschenk der Erde	Gift van de aarde	Don de la Tierra
nocturne_boon_thefieldsgift	The Field's Gift	Don des champs	Geschenk des Feldes	Gift van de akker	Don del Campo
nocturne_boon_theflamesgift	The Flame's Gift	Don des flammes	Geschenk des Feuers	Gift van het vuur	Don de la Llama
nocturne_boon_theforestsgift	The Forest's Gift	Don des forêts	Geschenk des Waldes	Gift van het bos	Don del Bosque
nocturne_boon_themoonsgift	The Moon's Gift	Don de la lune	Geschenk des Mondes	Gift van de maan	Don de la Luna
nocturne_boon_themountainsgift	The Mountain's Gift	Don des montagnes	Geschenk des Berges	Gift van de bergen	Don de la Montaña
nocturne_boon_theriversgift	The River's Gift	Don de la rivière	Geschenk des Flusses	Gift van de rivier	Don del Río
nocturne_boon_theseasgift	The Sea's Gift	Don de la mer	Geschenk des Meeres	Gift van de zee	Don del Mar
nocturne_boon_theskysgift	The Sky's Gift	Don du ciel	Geschenk des Himmels	Gift van de hemel	Don del Cielo
nocturne_boon_thesunsgift	The Sun's Gift	Don du soleil	Geschenk der Sonne	Gift van de zon	Don del Sol
nocturne_boon_theswampsgift	The Swamp's Gift	Don des marais	Geschenk des Sumpfes	Gift van het moeras	Don del Pantano
nocturne_boon_thewindsgift	The Wind's Gift	Don du vent	Geschenk des Windes	Gift van de wind	Don del Viento
nocturne_hauntedmirror	Haunted Mirror	Mirroir hanté			
nocturne_magiclamp	Magic Lamp	Lampe magique			
nocturne_goat	Goat	Chèvre			
nocturne_pasture	Pasture	Pâturage			
nocturne_pouch	Pouch	Pochette			
nocturne_cursedgold	Cursed Gold	Or maudit			
nocturne_luckycoin	Lucky Coin	Porte-bonheur			
nocturne_willowisp	Will-O'Wisp	Feux follet			
nocturne_wish	Wish	Vœu			
nocturne_bat	Bat	Chauve-souris			
nocturne_imp	Imp	Farfadet			
nocturne_zombieapprentice	Zombie Apprentice	Zombie apprenti			
nocturne_zombiemason	Zombie Mason	Zombie maçon			
nocturne_zombiespy	Zombie Spy	Zombie espion			
nocturne_ghost	Ghost	Fantôme			
nocturne_badomens	Bad Omens	Mauvais augure			
nocturne_delusion	Delusion	Envoûtement			
nocturne_envy	Envy	Jalousie			
nocturne_famine	Famine	Famine			
nocturne_fear	Fear	Peur			
nocturne_greed	Greed	Avidité			
nocturne_haunting	Haunting	Obsession			
nocturne_locusts	Locusts	Sauterelles			
nocturne_misery	Misery	Détresse			
nocturne_plague	Plague	Peste			
nocturne_poverty	Poverty	Pauvreté			
nocturne_war	War	Guerre			
nocturne_deluded	Deluded	Envoûté			
nocturne_envious	Envious	Jalous			
nocturne_miserable	Miserable	En détresse			
nocturne_twicemiserable	Twice Miserable	En grande détresse			
nocturne_lostinthewoods	Lost in the Woods	Perdu dans les bois			
