card,en,fr,de,nl,es
empires_landmark_aqueduct,Aqueduct,Aqueduc,Aquädukt,Aquaduct,Acueducto
empires_landmark_arena,Arena,Arène,Arena,Arena,Arena
empires_landmark_banditfort,Bandit Fort,Fort des bandits,Räuberfestung,Bandietenfort,Fuerte Bandido
empires_landmark_basilica,Basilica,Basilique,Basilika,Basiliek,Basílica
empires_landmark_baths,Baths,Bains,Badehaus,Baden,Baños
empires_landmark_battlefield,Battlefield,Champ de bataille,Schlachtfeld,Slagveld,Campo de Batalla
empires_landmark_colonnade,Colonnade,Colonnade,Kolonnaden,Zuilengalerij,Columnata
empires_landmark_defiledshrine,Defiled Shrine,Profanation,Entweihter Schrein,Geschonden altaar,Santuario Profanado
empires_landmark_fountain,Fountain,Fontaine,Brunnen,Fontein,Fuente
empires_landmark_keep,Keep,Fort,Bollwerk,Hoofdtoren,Fuerte
empires_landmark_labyrinth,Labyrinth,Labyrinthe,Labyrinth,Labyrint,Laberinto
empires_landmark_mountainpass,Mountain Pass,Col,Gebirgspass,Bergpas,Desfiladero
empires_landmark_museum,Museum,Musée,Museum,Museum,Museo
empires_landmark_obelisk,Obelisk,Obélisque,Obelisk,Obelisk,Obelisco
empires_landmark_orchard,Orchard,Verger,Obstgarten,Boomgaard,Vergel
empires_landmark_palace,Palace,Palais,Palast,Paleis,Palacio
empires_landmark_tomb,Tomb,Tombe,Grabmal,Tombe,Tumba
empires_landmark_tower,Tower,Tour,Turm,Toren,Torre
empires_landmark_triumphalarch,Triumphal Arch,Arc de triomphe,Triumphbogen,Triomfboog,Arco del Triunfo
empires_landmark_wall,Wall,Remparts,Mauer,Muur,Muro
empires_landmark_wolfden,Wolf Den,Tanière des loups,Wolfsbau,Wolvenhol,Guarida de Lobos
empires_castlestohidesplitcard,Castles - to hide split card,Châteaux,,,
empires_humblecastle,Humble Castle,Château modeste,,,
empires_crumblingcastle,Crumbling Castle,Château délabré,,,
empires_smallcastle,Small Castle,Petit château,,,
empires_hauntedcastle,Haunted Castle,Château hanté,,,
empires_opulentcastle,Opulent Castle,Somptueux château,,,
empires_sprawlingcastle,Sprawling Castle,Château prospère,,,
empires_grandcastle,Grand Castle,Grand château,,,
empires_kingscastle,Kings Castle,Château royal,,,
empires_catapultrockstohidesplitcard,Catapult / Rocks - to hide split card,Catapulte/Rocher,,,
empires_catapult,Catapult,Catapulte,,,
empires_rocks,Rocks,Rocher,,,
empires_encampmentplundertohidesplitcard,Encampment / Plunder - to hide split card,Camp/Saccage,,,
empires_encampment,Encampment,Camp,,,
empires_plunder,Plunder,Saccage,,,
empires_patricianemporiumtohidesplitcard,Patrician / Emporium - to hide split card,Patricien/Emporium,,,
empires_patrician,Patrician,Patricien,,,
empires_emporium,Emporium,Emporium,,,
empires_settlersbustlingvillagetohidesplitcard,Settlers / Bustling Village - to hide split card,Colons/Village en effervescence,,,
empires_settlers,Settlers,Colons,,,
empires_bustlingvillage,Bustling Village,Village en effervescence,,,
empires_gladiatorfortunetohidesplitcard,Gladiator / Fortune - to hide split card,Gladiateur/Fortune,,,
empires_gladiator,Gladiator,Gladiateur,,,
empires_fortune,Fortune,Fortune,,,
